Platform,Genre,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Game_Count,Cluster
2600,Action,26.39,24.63,1.47,0.0,55,0
2600,Adventure,0.4,0.38,0.02,0.0,1,0
2600,Fighting,0.77,0.72,0.04,0.0,1,0
2600,Misc,3.58,3.3400000000000003,0.2,0.0,5,0
2600,Platform,13.27,12.38,0.72,0.0,9,0
2600,Puzzle,13.649999999999999,12.72,0.8,0.0,8,0
2600,Racing,2.32,2.18,0.13,0.0,4,0
2600,Shooter,22.97,21.41,1.31,0.0,22,0
2600,Simulation,0.45,0.42,0.02,0.0,1,0
2600,Sports,2.77,2.6,0.15,0.0,10,0
3DO,Adventure,0.06,0.0,0.0,0.06,1,0
3DO,Puzzle,0.02,0.0,0.0,0.02,1,0
3DO,Simulation,0.02,0.0,0.0,0.02,1,0
3DS,Action,52.21,18.73,11.78,18.91,164,3
3DS,Adventure,4.32,0.98,0.8,2.38,32,0
3DS,Fighting,10.450000000000001,4.430000000000001,2.2,3.18,13,0
3DS,Misc,10.31,2.54,2.13,5.24,49,0
3DS,Platform,32.0,13.03,10.35,6.4,26,0
3DS,Puzzle,5.5600000000000005,1.29,2.11,1.8,19,0
3DS,Racing,14.41,5.98,4.58,2.81,10,0
3DS,Role-Playing,74.59,20.150000000000002,13.0,38.49,80,4
3DS,Shooter,1.22,0.62,0.33,0.2,6,0
3DS,Simulation,26.38,7.01,7.91,10.13,26,0
3DS,Sports,6.18,1.66,2.18,1.9500000000000002,25,0
3DS,Strategy,2.04,0.78,0.35,0.78,14,0
DC,Action,1.26,0.41,0.23,0.59,3,0
DC,Adventure,2.5,0.52,0.24,1.7,11,0
DC,Fighting,1.83,0.0,0.0,1.83,12,0
DC,Platform,2.54,1.26,0.61,0.5800000000000001,2,0
DC,Racing,2.65,1.1,0.51,0.96,6,0
DC,Role-Playing,0.68,0.0,0.0,0.68,4,0
DC,Shooter,0.33,0.0,0.0,0.33,3,0
DC,Simulation,0.52,0.0,0.0,0.52,1,0
DC,Sports,3.66,2.14,0.1,1.37,10,0
DS,Action,114.16,65.55,26.7,12.7,335,1
DS,Adventure,47.15,25.41,10.45,7.87,238,3
DS,Fighting,7.2,2.58,0.32,4.09,36,0
DS,Misc,137.67,54.98,35.65,37.26,389,1
DS,Platform,77.4,37.69,18.96,14.15,89,3
DS,Puzzle,83.87,35.07,26.21,15.89,236,1
DS,Racing,38.580000000000005,20.78,10.06,4.57,66,3
DS,Role-Playing,126.56,47.44,18.3,54.29,196,4
DS,Shooter,8.2,6.62,0.5900000000000001,0.34,42,0
DS,Simulation,131.36,68.0,36.51,15.43,279,1
DS,Sports,31.71,15.67,7.89,5.6000000000000005,146,3
DS,Strategy,14.76,8.47,2.41,2.83,78,0
GB,Action,7.92,4.07,2.11,1.49,6,0
GB,Adventure,17.16,8.88,3.5,4.25,5,0
